ID,Name,Platform,Year_of_Release,Genre,Publisher,Developer,Rating
379759396,Worms,PS3,2009,Strategy,Sony Computer Entertainment,Team 17,E10+
489083386,Capcom Digital Collection,X360,2012,Action,Capcom,Capcom,T
245157254,Colin McRae Rally 2.0,GBA,2002,Racing,Codemasters,Spellbound,E
799723861,Bust-A-Move,3DO,1994,Puzzle,Micro Cabin,,
724126561,Bugriders: The Race of Kings,PS,1997,Racing,GT Interactive,,
339153638,The Settlers: Rise of an Empire,PC,2007,Strategy,Ubisoft,Blue Byte,E10+
288202413,Payout Poker & Casino,PSP,N/A,Misc,Unknown,,
582202885,Sheep,PS,2000,Strategy,Empire Interactive,Minds-Eye Productions,E
416633047,Wii de Asobu: Metroid Prime,Wii,N/A,Shooter,Nintendo,,
734341572,Tank Beat,DS,2006,Strategy,Midas Interactive Entertainment,MileStone Inc.,E10+
352687624,Wangan Midnight Portable,PSP,2007,Racing,Genki,,
919296661,Who Wants to be a Millionaire: 2nd Edition,Wii,2008,Misc,Ubisoft,,
339430293,Rugby League Live 3,PS4,2015,Action,Tru Blu Entertainment,Big Ant Studios,E
134408617,Cross Ange: Tenshi to Ryuu no Rondo tr.,PSV,2015,Action,Namco Bandai Games,,
718528883,Tropico Reloaded,PC,2009,Strategy,Kalypso Media,Kalypso,T
905064771,Canvas 2,PS2,2006,Adventure,Kadokawa Shoten,,
333306899,Pony Luv,DS,2008,Simulation,GSP,Glyphic Entertainment,E
933040070,Memories Off: Sorekara Again,PS2,2006,Adventure,KID,,
558773856,11eyes: CrossOver,X360,2009,Adventure,5pb,,
775763904,ParaWorld,PC,2006,Strategy,Deep Silver,SEK Ost,T
627053363,Chuck E. Cheese's Sports Games,Wii,2011,Sports,UFO Interactive,UFO Interactive,E
369040339,Puppet Show 3: Lost Town,PC,2011,Puzzle,Focus Home Interactive,,
745267357,Stronghold 2 Deluxe,PC,2005,Strategy,Take-Two Interactive,,
324565972,AirForce Delta Storm,GBA,2002,Shooter,Konami Digital Entertainment,Konami,E
957358042,Winning Post 8 2015,PSV,2015,Action,Tecmo Koei,,
597446657,Peter Pan in Disney's Return to Never Land,PS,2002,Platform,Sony Computer Entertainment,,
392383400,Xenosaga I·II,DS,2006,Role-Playing,Namco Bandai Games,,
794518461,Mesaze!! Tsuri Master: Sekai ni Challenge! Hen,Wii,2008,Sports,Hudson Soft,,
420785392,La Corda d'Oro 4,PSV,2016,Action,Tecmo Koei,,
255095459,Kuusen II,PS2,2004,Simulation,Kadokawa Shoten,,
890244499,Cross Channel: In Memory of All People,X360,2011,Adventure,CyberFront,,
605215787,Ghost Pirates of Vooju Island,PC,2009,Adventure,DTP Entertainment,Autumn Moon,T
924543636,Clannad: Mitsumi Mamoru Sakamichi de - Joukan,PSP,2010,Adventure,Prototype,,
132503611,Future Tactics: The Uprising,GC,2004,Strategy,JoWood Productions,Zed Two Limited,T
809284758,Are You Alice?,PSP,2011,Adventure,Idea Factory,,
790938031,Bella Sara 2 - The Magic of Drasilmare,3DS,2013,Adventure,Big Ben Interactive,,
879534508,Dance Dance Revolution: Hottest Party 5,Wii,2011,Misc,Konami Digital Entertainment,,
708472305,Rengoku II:  The Stairway To H.E.A.V.E.N.,PSP,2006,Action,Konami Digital Entertainment,Neverland,T
248774464,Kensei: Sacred Fist,PS,1997,Fighting,Konami Digital Entertainment,,
178311669,Okashi na Shima no Peter Pan: Sweet Never Land,PSP,2011,Adventure,Quinrose,,
452380461,Backyard NFL Football,DS,2007,Sports,Atari,,
278364520,Urakata Hakuoki,PSP,2013,Adventure,Idea Factory,,
679149328,Here They Lie,PS4,2016,Adventure,Sony Computer Entertainment,The Tangentlemen,M
167805398,George of the Jungle and the Search for the Secret,Wii,2008,Platform,Ignition Entertainment,Crave,E
174440830,Gift: Prism,PS2,2006,Adventure,Sweets,,
239310593,Rugby League Live 3,X360,2015,Action,Tru Blu Entertainment,Big Ant Studios,E
797096466,Legacy of Ys: Books I & II,DS,N/A,Role-Playing,Unknown,,
170516741,Shanghai: True Valor,PS,1998,Puzzle,Activision,,
415490822,Supermodel Makeover by Lauren Luke,DS,2009,Simulation,Avanquest,,
353331284,Pharaoh,PC,1998,Strategy,Vivendi Games,Impressions Games,E
260814769,Major Dream: Major DS Dream Baseball,DS,2008,Sports,Takara Tomy,,
964423276,Steins;Gate: Senkei Kousoku no Phonogram,X360,2013,Adventure,5pb,,
682024442,Escape the Emerald Star,PC,2011,Puzzle,PopCap Games,PopCap,E
350373843,Thunderbirds,GBA,2004,Shooter,Vivendi Games,Saffire,E
455565235,TV Total Events,Wii,2011,Misc,7G//AMES,,
909393455,Vitamin Z Revolution,PSP,2010,Adventure,D3Publisher,,
751045223,Aegis of Earth: Protonovus Assault,PS3,2016,Action,PQube,Acquire,T
881651805,Aria: The Origination ~Aoi Wakusei no El Cielo~,PS2,2008,Adventure,Alchemist,,
934453259,Inkheart,DS,2009,Adventure,DreamCatcher Interactive,Dreamcatcher,E
905214374,Lunatic Dawn Tempest,PS2,2001,Role-Playing,ArtDink,,
499625025,Strike Witches: Shirogane no Tsubasa,PSP,2012,Strategy,Kadokawa Shoten,,
561520041,Total Immersion Racing,XB,2002,Racing,Empire Interactive,Razorworks Studios,E
241164478,Luxor: The Wrath of Set,PSP,2006,Puzzle,Mumbo Jumbo,MumboJumbo,E
917802318,Board Game: Top Shop,PS,1999,Misc,Success,,
168051417,Blade Arcus from Shining EX,PS3,2015,Fighting,Sega,,
971333911,Bigfoot King of Crush,Wii,2011,Racing,Zoo Games,Zoo Games,E
616500053,NANA: Live Staff Daiboshuu! Shoshinsha Kangei,DS,2007,Action,Konami Digital Entertainment,,
217520990,Demigod,PC,2009,Strategy,Atari,Gas Powered Games,T
663421784,Cocoto Magic Circus,Wii,2008,Shooter,Neko Entertainment,Neko Entertainment,E10+
821674201,Rugby Challenge 3,X360,2016,Sports,Alternative Software,Wicked Witch Software,E
495925857,Toukiden 2,PS3,2016,Action,Tecmo Koei,,
124044660,Europa Universalis III Complete,PC,2008,Strategy,Paradox Interactive,Paradox Development Studio,E10+
921882005,Zero no Tsukaima: Shou-akuma to Harukaze no Concerto,PS2,2007,Adventure,Marvelous Interactive,,
939206623,Dunamis 15,PS3,2011,Adventure,5pb,,
630789703,DemiKids: Dark Version,GBA,2002,Role-Playing,Atlus,,
575466866,Resident Evil: Umbrella Corps,PS4,2016,Action,Capcom,,
652076652,Mage Knight: Destiny's Soldier,DS,2006,Strategy,Namco Bandai Games,Big Blue Bubble Inc.,E10+
526980950,Fishdom 2 Deluxe,PC,2010,Puzzle,Rondomedia,,
362352958,Blender Bros.,GBA,2002,Platform,Unknown,AI,E
240255807,Treasure Chase,DS,2011,Puzzle,Storm City Games,,
596091741,Suzumiya Haruhi no Heiretsu,Wii,2009,Adventure,Sega,,
887350039,Stronghold Crusader Extreme,PC,2008,Strategy,Gamecock,FireFly Studios,T
231517143,Nanatsuiro * Drops Pure!!,PS2,2007,Adventure,Media Works,,
948381805,DemiKids: Light Version,GBA,2002,Role-Playing,Atlus,Multimedia Intelligence Transfer,E
804845026,Pe-Jongju to Manabu Kankokugo DS: Test-Hen,DS,2010,Misc,D3Publisher,,
335632514,Cities XL 2011,PC,2010,Simulation,Focus Home Interactive,Monte Cristo Multimedia,E
552287998,Farm Frenzy 3,DS,2011,Strategy,Unknown,,
792189117,Bottom of the 9th '97,PS,1997,Sports,Konami Digital Entertainment,,
547239674,Shaman King: Chou Senjiryokketsu 3,GBA,2002,Role-Playing,King Records,,
295014272,Rapala for Kinect,X360,2011,Sports,Activision,Activision,E
626126540,Line Rider 2: Unbound,Wii,2008,Puzzle,Deep Silver,InXile Entertainment,E
511841713,Hyakka Hyakurou: Sengoku Ninpoujou,PSV,2016,Adventure,D3Publisher,,
968198139,HatsuKare * Renai Debut Sengen!,PSP,2013,Adventure,FuRyu,,
655137669,QUIZ PARTY,Wii,2012,Misc,Nintendo,,
508809896,SimCity Societies,PC,2007,Simulation,Electronic Arts,Tilted Mill,E10+
541692426,Winx Club: Rockstars,DS,2010,Adventure,Namco Bandai Games,Rainbow S.p.A.,E
947102889,World Series of Poker 2008: Battle for the Bracelets,PSP,2007,Misc,Activision,Left Field Productions,T
